session_code,participant_code,treatment,treatment_prompt_file,llm_output_mode,selected_rounds,prompt_round_payload,llm_predictions,predicted_beliefs_pct,raw_response_content
ijtksv4p,s39fq05g,NoUncertainty,C:\Users\danie\Dropbox (Personal)\CheapTalk_Honesty\otree\SR_otree-NEW-2026\analysis_explanations\prompts\treatments\NoUncertainty.txt,predict_guess_directly,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[{""round"": 2, ""sender_message_encoded"": ""3"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 3, ""sender_message_encoded"": ""3"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 4, ""sender_message_encoded"": ""6"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 9, ""sender_message_encoded"": ""7"", ""x_count"": 3, ""strategic_sender_count"": 1, ""delegation_probability"": 0.75, ""delegation_probability_pct"": 75}, {""round"": 12, ""sender_message_encoded"": ""3"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 13, ""sender_message_encoded"": ""7"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 18, ""sender_message_encoded"": ""4"", ""x_count"": 4, ""strategic_sender_count"": 0, ""delegation_probability"": 1.0, ""delegation_probability_pct"": 100}, {""round"": 19, ""sender_message_encoded"": ""7"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 20, ""sender_message_encoded"": ""5"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 24, ""sender_message_encoded"": ""2"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}]","{""2"": 3.0, ""3"": 3.0, ""4"": 6.0, ""9"": 7.0, ""12"": 3.0, ""13"": 7.0, ""18"": 4.0, ""19"": 7.0, ""20"": 5.0, ""24"": 2.0}",,"{""predictions"":[{""round"":2,""predicted_guess"":3},{""round"":3,""predicted_guess"":3},{""round"":4,""predicted_guess"":6},{""round"":9,""predicted_guess"":7},{""round"":12,""predicted_guess"":3},{""round"":13,""predicted_guess"":7},{""round"":18,""predicted_guess"":4},{""round"":19,""predicted_guess"":7},{""round"":20,""predicted_guess"":5},{""round"":24,""predicted_guess"":2}]}"
ijtksv4p,z4pock9s,NoUncertainty,C:\Users\danie\Dropbox (Personal)\CheapTalk_Honesty\otree\SR_otree-NEW-2026\analysis_explanations\prompts\treatments\NoUncertainty.txt,predict_guess_directly,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[{""round"": 2, ""sender_message_encoded"": ""5"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 3, ""sender_message_encoded"": ""5"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 4, ""sender_message_encoded"": ""3"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 9, ""sender_message_encoded"": ""4"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 12, ""sender_message_encoded"": ""6"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 13, ""sender_message_encoded"": ""1"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 18, ""sender_message_encoded"": ""3"", ""x_count"": 3, ""strategic_sender_count"": 1, ""delegation_probability"": 0.75, ""delegation_probability_pct"": 75}, {""round"": 19, ""sender_message_encoded"": ""6"", ""x_count"": 4, ""strategic_sender_count"": 0, ""delegation_probability"": 1.0, ""delegation_probability_pct"": 100}, {""round"": 20, ""sender_message_encoded"": ""2"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 24, ""sender_message_encoded"": ""6"", ""x_count"": 4, ""strategic_sender_count"": 0, ""delegation_probability"": 1.0, ""delegation_probability_pct"": 100}]","{""2"": 5.0, ""3"": 5.0, ""4"": 3.0, ""9"": 4.0, ""12"": 6.0, ""13"": 1.0, ""18"": 3.0, ""19"": 6.0, ""20"": 2.0, ""24"": 6.0}",,"{""predictions"":[{""round"":2,""predicted_guess"":5},{""round"":3,""predicted_guess"":5},{""round"":4,""predicted_guess"":3},{""round"":9,""predicted_guess"":4},{""round"":12,""predicted_guess"":6},{""round"":13,""predicted_guess"":1},{""round"":18,""predicted_guess"":3},{""round"":19,""predicted_guess"":6},{""round"":20,""predicted_guess"":2},{""round"":24,""predicted_guess"":6}]}"
ijtksv4p,lrklrovy,NoUncertainty,C:\Users\danie\Dropbox (Personal)\CheapTalk_Honesty\otree\SR_otree-NEW-2026\analysis_explanations\prompts\treatments\NoUncertainty.txt,predict_guess_directly,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[{""round"": 2, ""sender_message_encoded"": ""6"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 3, ""sender_message_encoded"": ""5"", ""x_count"": 4, ""strategic_sender_count"": 0, ""delegation_probability"": 1.0, ""delegation_probability_pct"": 100}, {""round"": 4, ""sender_message_encoded"": ""2"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 9, ""sender_message_encoded"": ""6"", ""x_count"": 3, ""strategic_sender_count"": 1, ""delegation_probability"": 0.75, ""delegation_probability_pct"": 75}, {""round"": 12, ""sender_message_encoded"": ""3"", ""x_count"": 3, ""strategic_sender_count"": 1, ""delegation_probability"": 0.75, ""delegation_probability_pct"": 75}, {""round"": 13, ""sender_message_encoded"": ""1"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 18, ""sender_message_encoded"": ""7"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 19, ""sender_message_encoded"": ""7"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 20, ""sender_message_encoded"": ""5"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 24, ""sender_message_encoded"": ""7"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}]","{""2"": 6.0, ""3"": 5.0, ""4"": 2.0, ""9"": 6.0, ""12"": 3.0, ""13"": 1.0, ""18"": 7.0, ""19"": 7.0, ""20"": 5.0, ""24"": 7.0}",,"{""predictions"":[{""round"":2,""predicted_guess"":6},{""round"":3,""predicted_guess"":5},{""round"":4,""predicted_guess"":2},{""round"":9,""predicted_guess"":6},{""round"":12,""predicted_guess"":3},{""round"":13,""predicted_guess"":1},{""round"":18,""predicted_guess"":7},{""round"":19,""predicted_guess"":7},{""round"":20,""predicted_guess"":5},{""round"":24,""predicted_guess"":7}]}"
ijtksv4p,suiny1ys,NoUncertainty,C:\Users\danie\Dropbox (Personal)\CheapTalk_Honesty\otree\SR_otree-NEW-2026\analysis_explanations\prompts\treatments\NoUncertainty.txt,predict_guess_directly,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[{""round"": 2, ""sender_message_encoded"": ""7"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 3, ""sender_message_encoded"": ""5"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 4, ""sender_message_encoded"": ""7"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 9, ""sender_message_encoded"": ""4"", ""x_count"": 4, ""strategic_sender_count"": 0, ""delegation_probability"": 1.0, ""delegation_probability_pct"": 100}, {""round"": 12, ""sender_message_encoded"": ""6"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 13, ""sender_message_encoded"": ""7"", ""x_count"": 4, ""strategic_sender_count"": 0, ""delegation_probability"": 1.0, ""delegation_probability_pct"": 100}, {""round"": 18, ""sender_message_encoded"": ""6"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 19, ""sender_message_encoded"": ""2"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 20, ""sender_message_encoded"": ""3"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 24, ""sender_message_encoded"": ""4"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}]","{""2"": 7.0, ""3"": 5.0, ""4"": 7.0, ""9"": 4.0, ""12"": 6.0, ""13"": 7.0, ""18"": 6.0, ""19"": 2.0, ""20"": 3.0, ""24"": 4.0}",,"{""predictions"":[{""round"":2,""predicted_guess"":7},{""round"":3,""predicted_guess"":5},{""round"":4,""predicted_guess"":7},{""round"":9,""predicted_guess"":4},{""round"":12,""predicted_guess"":6},{""round"":13,""predicted_guess"":7},{""round"":18,""predicted_guess"":6},{""round"":19,""predicted_guess"":2},{""round"":20,""predicted_guess"":3},{""round"":24,""predicted_guess"":4}]}"
ijtksv4p,dm3u9zgz,NoUncertainty,C:\Users\danie\Dropbox (Personal)\CheapTalk_Honesty\otree\SR_otree-NEW-2026\analysis_explanations\prompts\treatments\NoUncertainty.txt,predict_guess_directly,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[{""round"": 2, ""sender_message_encoded"": ""6"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 3, ""sender_message_encoded"": ""2"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 4, ""sender_message_encoded"": ""7"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 9, ""sender_message_encoded"": ""6"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 12, ""sender_message_encoded"": ""6"", ""x_count"": 4, ""strategic_sender_count"": 0, ""delegation_probability"": 1.0, ""delegation_probability_pct"": 100}, {""round"": 13, ""sender_message_encoded"": ""4"", ""x_count"": 4, ""strategic_sender_count"": 0, ""delegation_probability"": 1.0, ""delegation_probability_pct"": 100}, {""round"": 18, ""sender_message_encoded"": ""5"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 19, ""sender_message_encoded"": ""4"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 20, ""sender_message_encoded"": ""6"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 24, ""sender_message_encoded"": ""5"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}]","{""2"": 6.0, ""3"": 2.0, ""4"": 7.0, ""9"": 6.0, ""12"": 6.0, ""13"": 4.0, ""18"": 5.0, ""19"": 4.0, ""20"": 6.0, ""24"": 5.0}",,"{""predictions"":[{""round"":2,""predicted_guess"":6},{""round"":3,""predicted_guess"":2},{""round"":4,""predicted_guess"":7},{""round"":9,""predicted_guess"":6},{""round"":12,""predicted_guess"":6},{""round"":13,""predicted_guess"":4},{""round"":18,""predicted_guess"":5},{""round"":19,""predicted_guess"":4},{""round"":20,""predicted_guess"":6},{""round"":24,""predicted_guess"":5}]}"
ijtksv4p,mdezafla,NoUncertainty,C:\Users\danie\Dropbox (Personal)\CheapTalk_Honesty\otree\SR_otree-NEW-2026\analysis_explanations\prompts\treatments\NoUncertainty.txt,predict_guess_directly,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[{""round"": 2, ""sender_message_encoded"": ""7"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 3, ""sender_message_encoded"": ""5"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 4, ""sender_message_encoded"": ""4"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 9, ""sender_message_encoded"": ""7"", ""x_count"": 3, ""strategic_sender_count"": 1, ""delegation_probability"": 0.75, ""delegation_probability_pct"": 75}, {""round"": 12, ""sender_message_encoded"": ""2"", ""x_count"": 4, ""strategic_sender_count"": 0, ""delegation_probability"": 1.0, ""delegation_probability_pct"": 100}, {""round"": 13, ""sender_message_encoded"": ""7"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 18, ""sender_message_encoded"": ""7"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 19, ""sender_message_encoded"": ""2"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 20, ""sender_message_encoded"": ""7"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 24, ""sender_message_encoded"": ""7"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}]","{""2"": 7.0, ""3"": 5.0, ""4"": 4.0, ""9"": 7.0, ""12"": 2.0, ""13"": 7.0, ""18"": 7.0, ""19"": 2.0, ""20"": 7.0, ""24"": 7.0}",,"{""predictions"":[{""round"":2,""predicted_guess"":7},{""round"":3,""predicted_guess"":5},{""round"":4,""predicted_guess"":4},{""round"":9,""predicted_guess"":7},{""round"":12,""predicted_guess"":2},{""round"":13,""predicted_guess"":7},{""round"":18,""predicted_guess"":7},{""round"":19,""predicted_guess"":2},{""round"":20,""predicted_guess"":7},{""round"":24,""predicted_guess"":7}]}"
ijtksv4p,8r52a6nf,NoUncertainty,C:\Users\danie\Dropbox (Personal)\CheapTalk_Honesty\otree\SR_otree-NEW-2026\analysis_explanations\prompts\treatments\NoUncertainty.txt,predict_guess_directly,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[{""round"": 2, ""sender_message_encoded"": ""7"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 3, ""sender_message_encoded"": ""5"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 4, ""sender_message_encoded"": ""6"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 9, ""sender_message_encoded"": ""7"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 12, ""sender_message_encoded"": ""4"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 13, ""sender_message_encoded"": ""2"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 18, ""sender_message_encoded"": ""5"", ""x_count"": 3, ""strategic_sender_count"": 1, ""delegation_probability"": 0.75, ""delegation_probability_pct"": 75}, {""round"": 19, ""sender_message_encoded"": ""6"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 20, ""sender_message_encoded"": ""5"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 24, ""sender_message_encoded"": ""4"", ""x_count"": 3, ""strategic_sender_count"": 1, ""delegation_probability"": 0.75, ""delegation_probability_pct"": 75}]","{""2"": 7.0, ""3"": 5.0, ""4"": 6.0, ""9"": 7.0, ""12"": 4.0, ""13"": 2.0, ""18"": 5.0, ""19"": 6.0, ""20"": 5.0, ""24"": 4.0}",,"{""predictions"":[{""round"":2,""predicted_guess"":7},{""round"":3,""predicted_guess"":5},{""round"":4,""predicted_guess"":6},{""round"":9,""predicted_guess"":7},{""round"":12,""predicted_guess"":4},{""round"":13,""predicted_guess"":2},{""round"":18,""predicted_guess"":5},{""round"":19,""predicted_guess"":6},{""round"":20,""predicted_guess"":5},{""round"":24,""predicted_guess"":4}]}"
ijtksv4p,pzqvybb6,NoUncertainty,C:\Users\danie\Dropbox (Personal)\CheapTalk_Honesty\otree\SR_otree-NEW-2026\analysis_explanations\prompts\treatments\NoUncertainty.txt,predict_guess_directly,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[{""round"": 2, ""sender_message_encoded"": ""6"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 3, ""sender_message_encoded"": ""5"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 4, ""sender_message_encoded"": ""4"", ""x_count"": 4, ""strategic_sender_count"": 0, ""delegation_probability"": 1.0, ""delegation_probability_pct"": 100}, {""round"": 9, ""sender_message_encoded"": ""5"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 12, ""sender_message_encoded"": ""6"", ""x_count"": 4, ""strategic_sender_count"": 0, ""delegation_probability"": 1.0, ""delegation_probability_pct"": 100}, {""round"": 13, ""sender_message_encoded"": ""3"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 18, ""sender_message_encoded"": ""6"", ""x_count"": 3, ""strategic_sender_count"": 1, ""delegation_probability"": 0.75, ""delegation_probability_pct"": 75}, {""round"": 19, ""sender_message_encoded"": ""7"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 20, ""sender_message_encoded"": ""6"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 24, ""sender_message_encoded"": ""7"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}]","{""2"": 6.0, ""3"": 5.0, ""4"": 4.0, ""9"": 5.0, ""12"": 6.0, ""13"": 3.0, ""18"": 6.0, ""19"": 7.0, ""20"": 6.0, ""24"": 7.0}",,"{""predictions"":[{""round"":2,""predicted_guess"":6},{""round"":3,""predicted_guess"":5},{""round"":4,""predicted_guess"":4},{""round"":9,""predicted_guess"":5},{""round"":12,""predicted_guess"":6},{""round"":13,""predicted_guess"":3},{""round"":18,""predicted_guess"":6},{""round"":19,""predicted_guess"":7},{""round"":20,""predicted_guess"":6},{""round"":24,""predicted_guess"":7}]}"
ijtksv4p,qh3in75n,NoUncertainty,C:\Users\danie\Dropbox (Personal)\CheapTalk_Honesty\otree\SR_otree-NEW-2026\analysis_explanations\prompts\treatments\NoUncertainty.txt,predict_guess_directly,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[{""round"": 2, ""sender_message_encoded"": ""6"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 3, ""sender_message_encoded"": ""3"", ""x_count"": 4, ""strategic_sender_count"": 0, ""delegation_probability"": 1.0, ""delegation_probability_pct"": 100}, {""round"": 4, ""sender_message_encoded"": ""6"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 9, ""sender_message_encoded"": ""5"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 12, ""sender_message_encoded"": ""7"", ""x_count"": 4, ""strategic_sender_count"": 0, ""delegation_probability"": 1.0, ""delegation_probability_pct"": 100}, {""round"": 13, ""sender_message_encoded"": ""5"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 18, ""sender_message_encoded"": ""5"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 19, ""sender_message_encoded"": ""5"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 20, ""sender_message_encoded"": ""5"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 24, ""sender_message_encoded"": ""7"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}]","{""2"": 6.0, ""3"": 3.0, ""4"": 6.0, ""9"": 5.0, ""12"": 7.0, ""13"": 5.0, ""18"": 5.0, ""19"": 5.0, ""20"": 5.0, ""24"": 7.0}",,"{""predictions"":[{""round"":2,""predicted_guess"":6},{""round"":3,""predicted_guess"":3},{""round"":4,""predicted_guess"":6},{""round"":9,""predicted_guess"":5},{""round"":12,""predicted_guess"":7},{""round"":13,""predicted_guess"":5},{""round"":18,""predicted_guess"":5},{""round"":19,""predicted_guess"":5},{""round"":20,""predicted_guess"":5},{""round"":24,""predicted_guess"":7}]}"
ijtksv4p,xgv6i8eg,NoUncertainty,C:\Users\danie\Dropbox (Personal)\CheapTalk_Honesty\otree\SR_otree-NEW-2026\analysis_explanations\prompts\treatments\NoUncertainty.txt,predict_guess_directly,"[2, 3, 4, 9, 12, 13, 18, 19, 20, 24]","[{""round"": 2, ""sender_message_encoded"": ""3"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 3, ""sender_message_encoded"": ""6"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 4, ""sender_message_encoded"": ""5"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 9, ""sender_message_encoded"": ""5"", ""x_count"": 4, ""strategic_sender_count"": 0, ""delegation_probability"": 1.0, ""delegation_probability_pct"": 100}, {""round"": 12, ""sender_message_encoded"": ""6"", ""x_count"": 4, ""strategic_sender_count"": 0, ""delegation_probability"": 1.0, ""delegation_probability_pct"": 100}, {""round"": 13, ""sender_message_encoded"": ""6"", ""x_count"": 2, ""strategic_sender_count"": 2, ""delegation_probability"": 0.5, ""delegation_probability_pct"": 50}, {""round"": 18, ""sender_message_encoded"": ""6"", ""x_count"": 3, ""strategic_sender_count"": 1, ""delegation_probability"": 0.75, ""delegation_probability_pct"": 75}, {""round"": 19, ""sender_message_encoded"": ""7"", ""x_count"": 0, ""strategic_sender_count"": 4, ""delegation_probability"": 0.0, ""delegation_probability_pct"": 0}, {""round"": 20, ""sender_message_encoded"": ""6"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}, {""round"": 24, ""sender_message_encoded"": ""5"", ""x_count"": 1, ""strategic_sender_count"": 3, ""delegation_probability"": 0.25, ""delegation_probability_pct"": 25}]","{""2"": 3.0, ""3"": 6.0, ""4"": 5.0, ""9"": 5.0, ""12"": 6.0, ""13"": 6.0, ""18"": 6.0, ""19"": 7.0, ""20"": 6.0, ""24"": 5.0}",,"{""predictions"":[{""round"":2,""predicted_guess"":3},{""round"":3,""predicted_guess"":6},{""round"":4,""predicted_guess"":5},{""round"":9,""predicted_guess"":5},{""round"":12,""predicted_guess"":6},{""round"":13,""predicted_guess"":6},{""round"":18,""predicted_guess"":6},{""round"":19,""predicted_guess"":7},{""round"":20,""predicted_guess"":6},{""round"":24,""predicted_guess"":5}]}"
